-0.787500, 0.953750, 0.673750; -0.387637, -0.803988, 9.669396; 0.000015, -0.000022, -0.000136;
-7.052500, 1.286250, 2.100000; -0.602991, -0.552742, 9.332007; 0.000015, -0.000022, -0.000136;
-4.628750, 1.128750, 5.320000; -0.646062, -0.775274, 9.439685; 0.000016, -0.000021, -0.000135;
1.662500, 1.977500, -4.733750; -0.531207, -0.811167, 9.518648; 0.000016, -0.000021, -0.000135;
-3.106250, 1.513750, 2.616250; -0.703490, -1.091127, 9.346365; 0.000016, -0.000021, -0.000135;
-1.373750, -2.817500, 23.887501; -1.155733, -0.825524, 9.217153; 0.000014, -0.000021, -0.000136;
-10.001250, -1.671250, 23.511250; -0.667598, -0.315853, 9.812965; 0.000014, -0.000021, -0.000136;
2.021250, -0.437500, 23.283751; -0.739382, -0.961915, 9.518648; 0.000014, -0.000021, -0.000136;
-0.778750, 2.476250, 20.702499; -1.055235, -1.091127, 9.181260; 0.000015, -0.000024, -0.000136;
2.493750, 6.973750, 20.754999; -0.624527, -0.890130, 9.274580; 0.000015, -0.000024, -0.000136;
-11.191250, -1.321250, 29.443750; -0.875773, -1.213161, 9.640682; 0.000015, -0.000024, -0.000136;
-8.697500, -0.533750, 33.722500; -0.868595, -0.746561, 9.224331; 0.000015, -0.000024, -0.000136;
-18.453751, 8.155000, 36.295002; -0.631705, -1.040878, 9.698110; 0.000015, -0.000026, -0.000137;
-9.502500, 3.928750, 34.273750; -0.617348, -0.552742, 9.224331; 0.000015, -0.000026, -0.000137;
-10.902500, 6.650000, 27.352501; -0.818345, -0.646062, 9.403793; 0.000015, -0.000026, -0.000137;
-9.555000, 7.743750, 25.287500; -0.689133, -0.488136, 9.425328; 0.000016, -0.000031, -0.000138;
-6.221250, 22.977501, 19.320000; -0.868595, -0.954736, 9.339187; 0.000016, -0.000031, -0.000138;
-12.092500, -6.081250, 29.750000; -0.667598, -0.538385, 9.655039; 0.000016, -0.000031, -0.000138;
-4.138750, 11.996250, 18.331249; -0.574277, -0.624527, 9.540184; 0.000016, -0.000033, -0.000137;
-7.043750, 0.253750, 27.825001; -0.732204, -0.581456, 9.540184; 0.000016, -0.000033, -0.000137;
-3.806250, 7.726250, 28.236250; -0.696311, -0.323031, 9.360722; 0.000016, -0.000033, -0.000137;
0.140000, 7.455000, 22.636250; -0.624527, -0.725025, 9.353543; 0.000016, -0.000037, -0.000136;
-1.811250, -3.736250, 29.872499; -0.631705, -0.143569, 9.396614; 0.000016, -0.000037, -0.000136;
1.233750, 14.411250, 15.566250; -0.610170, -0.538385, 9.590433; 0.000016, -0.000037, -0.000136;
-7.568750, 4.698750, 21.542500; -0.689133, -0.588634, 9.367901; 0.000016, -0.000037, -0.000136;
-12.608750, -1.662500, 19.915001; -0.574277, -0.602991, 9.389436; 0.000016, -0.000040, -0.000137;
-12.503750, 4.313750, 22.330000; -0.581456, -0.423530, 9.540184; 0.000016, -0.000040, -0.000137;
-10.727500, -3.911250, 27.299999; -0.344566, -0.401994, 9.475577; 0.000016, -0.000040, -0.000137;
-4.602500, 11.777500, 27.553751; -0.516850, -0.595813, 9.475577; 0.000015, -0.000043, -0.000137;
-2.660000, -5.871250, 31.246250; -0.696311, -0.308674, 9.683753; 0.000015, -0.000043, -0.000137;
-4.025000, 2.362500, 31.010000; -0.868595, -0.315853, 9.281759; 0.000015, -0.000043, -0.000137;
0.551250, 2.782500, 25.952499; -0.983450, -0.337388, 9.403793; 0.000014, -0.000046, -0.000137;
-8.190000, 5.346250, 24.771250; -0.832702, -0.366102, 9.317652; 0.000014, -0.000046, -0.000137;
-5.127500, -9.397500, 34.527500; -0.689133, -0.394816, 9.461221; 0.000014, -0.000046, -0.000137;
-8.592500, 9.056250, 31.911251; -1.105484, -0.294317, 9.410972; 0.000012, -0.000049, -0.000137;
-1.942500, 7.700000, 26.258751; -0.753739, -0.373280, 9.432507; 0.000012, -0.000049, -0.000137;
-8.382500, 11.392500, 20.090000; -1.048056, -0.394816, 9.640682; 0.000012, -0.000049, -0.000137;
-6.501250, -1.163750, 22.636250; -0.667598, -0.129212, 9.382257; 0.000012, -0.000049, -0.000137;
-11.243750, 8.443750, 26.293751; -1.105484, -0.272782, 9.597611; 0.000011, -0.000052, -0.000136;
0.463750, 2.073750, 32.445000; -0.610170, -0.380459, 9.367901; 0.000011, -0.000052, -0.000136;
-0.315000, -2.791250, 40.302502; -0.753739, 0.014357, 9.590433; 0.000011, -0.000052, -0.000136;
4.786250, -12.127500, 36.505001; -1.234696, -0.703490, 9.159724; 0.000008, -0.000054, -0.000136;
-2.677500, 18.777500, 25.628750; -0.969093, -0.445065, 9.209974; 0.000008, -0.000054, -0.000136;
-4.366250, 14.577500, 27.116251; -0.789631, -0.452243, 9.590433; 0.000008, -0.000054, -0.000136;
-4.103750, 0.323750, 32.751251; -0.839881, -0.545564, 9.152546; 0.000006, -0.000056, -0.000136;
-9.625000, 10.132500, 30.625000; -0.595813, -0.445065, 9.475577; 0.000006, -0.000056, -0.000136;
-6.125000, 6.737500, 33.862499; -1.055235, -0.251246, 9.360722; 0.000006, -0.000056, -0.000136;
-6.160000, -3.823750, 44.843750; -0.803988, -0.251246, 9.547362; 0.000003, -0.000057, -0.000135;
7.472500, 5.661250, 43.513752; -0.933201, -0.775274, 9.748360; 0.000003, -0.000057, -0.000135;
12.941250, 5.556250, 35.148750; -0.552742, -0.409173, 9.690931; 0.000003, -0.000057, -0.000135;
13.431250, -1.277500, 42.717499; -0.344566, -1.019342, 9.281759; -0.000001, -0.000057, -0.000135;
13.772500, -5.162500, 36.076252; -1.019342, -1.105484, 9.166903; -0.000001, -0.000057, -0.000135;
7.490000, 11.996250, 28.927500; -0.660419, -1.040878, 9.217153; -0.000001, -0.000057, -0.000135;
2.835000, 0.595000, 32.576252; -0.847059, -1.292124, 9.310472; -0.000001, -0.000057, -0.000135;
